Epoch,Train_Acc,Test_Acc,Train_Loss
1,54.164,53.92,1.58185654253606
2,27.88,28.23,2.157213936224008
3,36.356,36.35,1.7455091256924602
4,44.73,45.050000000000004,1.5720981435702586
5,50.014,49.86,1.4512611833374824
6,55.152,53.76,1.3342212248793648
7,59.666,57.63,1.2346964525749615
8,63.522,60.01,1.13784738048873
9,64.544,60.34,1.0481400229132083
10,66.608,61.42999999999999,0.9694187131226825
11,72.15599999999999,64.25,0.891709826105391
12,71.292,62.82,0.8196933212716256
13,76.22,64.88000000000001,0.7446910901676358
14,79.938,64.89,0.675898624579315
15,78.268,63.89,0.5942646989127254
16,83.81,65.63,0.5206788536113547
17,86.012,65.19,0.450215234152039
18,88.042,64.42999999999999,0.39317206643960056
19,92.91199999999999,66.16,0.32897725553654344
20,89.742,65.23,0.2922572066049899
21,93.28800000000001,65.16,0.25238924439224747
22,95.61,66.13,0.22549342413139922
23,94.312,64.69,0.1967837104521444
24,93.338,64.7,0.18838886238272537
25,93.54,64.82,0.17506661818927283
26,97.236,65.31,0.1660568295118144
27,96.758,65.36,0.15513586795048032
28,93.194,64.64,0.14765276229652144
29,97.836,65.42,0.1441877009704366
30,96.214,64.41,0.12989090214652554
31,95.872,64.22,0.12798757755609652
32,96.61999999999999,64.95,0.11403077559264573
33,96.242,64.71000000000001,0.12055046931909555
34,97.378,66.24,0.1196946501815239
35,97.69200000000001,65.97,0.11248087450323621
36,97.642,65.93,0.10680048809984646
37,95.234,63.75999999999999,0.0923872730769741
38,96.87,64.86,0.10803112183528407
39,97.19200000000001,65.44,0.09286542566817092
40,98.274,65.74,0.09632643736074761
41,97.914,66.09,0.09752412598110888
42,97.652,65.45,0.09685398346048964
43,97.88799999999999,65.42999999999999,0.08422641958588796
44,93.556,62.74999999999999,0.08708821055526986
45,97.81400000000001,65.64999999999999,0.08890111309230861
46,97.08,64.62,0.0768003940190453
47,97.58200000000001,65.5,0.08316339399276154
48,98.276,65.42,0.07758652061566977
49,98.19,65.11,0.07548393150005499
50,95.96000000000001,63.690000000000005,0.07647343024389956
51,96.95,64.2,0.07044677313624421
52,98.298,65.59,0.07920737031554265
53,98.58200000000001,66.32000000000001,0.07205932209496875
54,97.53,64.33,0.07307060704122315
55,97.528,66.2,0.060442688369044505
56,97.68599999999999,65.42999999999999,0.07110070303091993
57,97.30799999999999,64.39,0.06788498531301122
58,98.392,65.7,0.06851864183235847
59,98.7,65.52,0.061441969312846546
60,98.682,64.9,0.05893402281122001
61,97.726,65.28,0.06532112789197998
62,98.694,66.08000000000001,0.06021335670817405
63,98.504,65.67,0.06157661730493836
64,98.464,65.63,0.055250604486609796
65,97.8,65.14,0.06308477779682439
66,97.962,64.22,0.05275966352134076
67,98.508,66.05,0.06133525020173748
68,99.104,66.03999999999999,0.05556175114845683
69,98.912,65.25999999999999,0.05035067745156901
70,96.504,64.55,0.05873619942539407
71,97.83800000000001,65.21000000000001,0.046586486031203064
72,98.81400000000001,65.33,0.04843748620424844
73,98.848,66.02,0.049723210960270506
74,98.0,65.11,0.05373930083209639
75,98.18599999999999,64.77000000000001,0.05702598980697029
76,97.866,65.22,0.04726564088452827
77,98.732,65.85,0.048463681315713804
78,98.468,65.77,0.04522120274241318
79,98.344,64.94,0.04797302835095135
80,98.554,64.81,0.046431528339448296
81,98.454,65.64,0.047711718456058635
82,99.152,65.19,0.04563353667014857
83,99.3,65.9,0.044266514889577335
84,98.142,65.3,0.04467824336712706
85,99.10600000000001,65.47,0.0389878554062744
86,99.102,66.14999999999999,0.047698291421220625
87,98.29599999999999,65.05,0.04116311950979473
88,99.016,65.77,0.040937421314479056
89,99.41,66.22,0.04748522429941389
90,99.28200000000001,65.77,0.04074151884562567
91,99.22800000000001,65.59,0.04167489935306039
92,98.982,65.83,0.03778390319283416
93,99.422,66.38,0.04314462726047296
94,99.196,65.39,0.03904479772586863
95,98.708,65.91,0.03740971547636606
96,98.94800000000001,65.83,0.046882972563676475
97,98.976,65.98,0.030362031640666698
98,97.91,65.07,0.040998241669089594
99,99.304,66.82000000000001,0.03704176832016086
100,99.222,66.5,0.03465426920736304
101,98.58200000000001,65.01,0.03499339159396168
102,98.87,65.58,0.03471934811941281
103,98.002,65.41,0.03575611167097264
104,99.02,65.58,0.039884854003961516
105,98.86399999999999,66.11,0.037643938160399
106,99.384,65.91,0.0331892106148219
107,99.238,66.13,0.034111441487533964
108,98.976,65.52,0.03147628951570331
109,98.54,64.75999999999999,0.0314709678079355
110,98.588,65.25999999999999,0.03239797249607875
111,99.49,67.15,0.037349385882938006
112,98.69,65.60000000000001,0.03134841640898779
113,98.786,64.95,0.03589981226400887
114,99.592,66.51,0.02736158557804873
115,99.39,65.86,0.03919556165988128
116,98.94800000000001,65.49000000000001,0.025074376003800945
117,99.28200000000001,66.22,0.030104955581984186
118,99.206,65.38000000000001,0.03157012300387047
119,99.304,65.94,0.032583683416305576
120,99.25,66.31,0.03406849832468591
121,99.482,65.95,0.02689114111454842
122,98.532,65.63,0.032496239472863314
123,99.232,65.16999999999999,0.03157678592487571
124,99.278,65.14999999999999,0.025546256858652132
125,98.83800000000001,65.06,0.02884588475896107
126,98.912,65.3,0.030507988981747627
127,99.21799999999999,66.13,0.029930885467795765
128,98.79400000000001,64.97,0.03380748006055796
129,99.376,65.33,0.025564545804559958
130,99.138,66.36999999999999,0.032991666644730494
131,98.672,64.57000000000001,0.023621409725694223
132,99.03,66.39,0.030461593892609076
133,99.414,66.61,0.02677772596431271
134,99.152,65.49000000000001,0.026074840698994566
135,99.488,65.69,0.02532537293724169
136,98.898,65.94,0.028864981166732882
137,99.636,66.31,0.030250582632215996
138,99.542,66.22,0.024980187367954855
139,99.568,66.5,0.027774456432489665
140,99.554,66.38,0.025599395166831705
141,99.516,65.91,0.02467996037330406
142,99.368,65.75999999999999,0.026232623054435755
143,98.80799999999999,65.44,0.026389041296372404
144,98.81,64.56,0.027969086615559573
145,99.21600000000001,65.86,0.023546460889699056
146,99.47200000000001,66.3,0.026251740175295774
147,99.30799999999999,65.98,0.02627952335859545
148,97.976,65.13,0.03000882817379808
149,99.58200000000001,65.5,0.019126892761762618
150,99.434,65.97,0.022079874655752355
151,99.148,65.46,0.033868478773118
152,99.724,65.85,0.017503435415692877
153,98.912,64.92,0.022514814095328014
154,99.152,65.13,0.02580908253959626
155,99.604,66.10000000000001,0.026299356676229034
156,98.832,65.21000000000001,0.021153216133490527
157,99.298,65.56,0.025524050183657495
158,99.054,64.87,0.019042846419287416
159,99.316,65.56,0.026526808942881914
160,98.932,65.69,0.020469192516008736
161,99.48,66.52,0.02309478192690738
162,99.396,66.12,0.02324157545698912
163,99.464,66.4,0.021590143478031287
164,99.822,66.38,0.02640406503402384
165,99.26,65.09,0.01763927433698754
166,98.664,64.64,0.024845866454153574
167,99.528,65.56,0.02130810831428145
168,99.522,65.84,0.016977517255873886
169,99.55199999999999,66.06,0.0265317332197759
170,99.09,66.17,0.020619676107681558
171,99.628,65.82000000000001,0.019554923690879026
172,99.4,65.41,0.026375487720377726
173,99.766,66.94,0.01845517562715101
174,99.408,65.9,0.022023992533085245
175,99.636,66.09,0.021362551955448592
176,99.56,66.46,0.015926258462803537
177,99.592,66.14,0.023439316533088637
178,98.598,65.18,0.019609358149471314
179,98.94800000000001,64.88000000000001,0.02668331967697319
180,99.78,66.32000000000001,0.02067827422625434
181,98.13,65.02,0.016619542825102817
182,99.328,65.57,0.022999500142489818
183,99.506,65.49000000000001,0.016177796953775855
184,99.55199999999999,66.11,0.02067766299137998
185,99.702,65.82000000000001,0.023653468958849413
186,99.56,65.44,0.019207619081708052
187,99.52,66.08000000000001,0.015274717547997991
188,99.334,65.72,0.018625834718975342
189,99.546,66.28,0.02360818267341696
190,99.67,65.68,0.019464890428683962
191,99.478,66.28,0.014798199462401337
192,99.586,66.03,0.024359382244979674
193,99.212,66.56,0.01498011792412229
194,99.788,66.11,0.02094464709818818
195,99.102,64.77000000000001,0.017933886349930286
196,99.868,66.55,0.020730644236118912
197,99.288,65.51,0.017958259726462537
198,99.48599999999999,66.01,0.01621126256591278
199,99.494,65.96,0.0194431987469276
200,99.646,66.53999999999999,0.01956033902425516
