Epoch,Train_Acc,Test_Acc,Train_Loss
1,56.126,54.730000000000004,1.5150970971340414
2,68.272,66.47999999999999,1.1016678426729138
3,76.538,72.87,0.8361111500150408
4,79.85,75.63,0.6772428837121295
5,83.13199999999999,77.25,0.5733010299751521
6,85.96000000000001,78.59,0.4885484798027731
7,88.8,80.47,0.4242350618971888
8,88.68,79.83,0.36557432578500276
9,91.242,81.62,0.3192051828879377
10,92.84,81.06,0.2727414887265095
11,94.43599999999999,81.83,0.24973347618023073
12,92.768,80.05,0.21616028251645664
13,94.554,81.10000000000001,0.17999282980437778
14,92.51599999999999,79.3,0.17674958023964368
15,94.582,80.74,0.1654058472423688
16,96.286,81.89,0.14759696309652437
17,97.414,82.96,0.13801535794420924
18,97.306,82.88,0.13071155823085961
19,96.00800000000001,81.63,0.12268715625678848
20,97.378,82.37,0.10882723414936982
21,95.488,81.28,0.11227010811567116
22,96.104,81.44,0.11037852785423817
23,96.41,81.6,0.0947493768220915
24,97.31,82.34,0.09740467575114325
25,96.994,81.55,0.08972862676676849
26,98.502,83.62,0.08510675389603105
27,97.898,82.50999999999999,0.08132705055957283
28,97.518,81.96,0.07845793978479046
29,97.648,82.65,0.0795722027283038
30,98.14399999999999,83.22,0.073221114701252
31,98.00999999999999,82.76,0.07670099010763695
32,98.11999999999999,83.03,0.06874922867786959
33,98.036,82.23,0.06735156681549395
34,98.434,82.93,0.06844601545596311
35,98.11999999999999,82.58,0.06588868664912856
36,98.236,82.49,0.06523287642519097
37,98.27799999999999,82.88,0.05982870765334374
38,98.324,83.02000000000001,0.05557736990530618
39,98.708,82.99,0.06300994255559167
40,98.234,82.80999999999999,0.051335483669604665
41,98.496,82.42,0.06035200144995547
42,99.022,83.87,0.04753563202069917
43,97.94,82.41000000000001,0.0519049239649778
44,98.452,83.0,0.05815683522671366
45,98.29,83.46000000000001,0.047581314572917366
46,98.648,83.32000000000001,0.04800338495512019
47,98.98400000000001,83.48,0.048247326205576424
48,98.554,82.96,0.050743877194816475
49,98.578,82.57,0.03623180126082366
50,98.564,83.14,0.05148620073712738
51,98.702,82.74000000000001,0.0412201957768657
52,98.478,83.04,0.040452472666544066
53,97.666,81.91000000000001,0.04420624907946397
54,98.98599999999999,83.3,0.047186258239978254
55,98.706,82.58,0.0361695690985273
56,98.816,83.38,0.034766204858208735
57,98.612,83.25,0.04095784455387885
58,98.85199999999999,83.22,0.04245264484452398
59,98.9,83.50999999999999,0.03526487706638182
60,98.16,82.55,0.033540769007715396
61,98.74000000000001,83.13000000000001,0.03709777355493839
62,99.346,84.36,0.03832596033700141
63,99.414,83.78,0.03605710644770831
64,99.00999999999999,83.12,0.02763782557896468
65,99.506,84.39999999999999,0.03723630868940545
66,99.028,83.42,0.030142896257516125
67,98.34,83.19,0.04147460008781585
68,98.752,83.23,0.033617828752586454
69,97.908,82.35,0.030413004562786908
70,99.32600000000001,84.11,0.03365196517066565
71,99.55199999999999,83.91999999999999,0.030174524975636743
72,99.08200000000001,83.62,0.023112563419562485
73,99.188,83.87,0.03314961984221515
74,99.238,84.27,0.03108447054232074
75,99.19200000000001,83.75,0.030183375534180063
76,99.176,83.98,0.024564644447370027
77,99.386,84.55,0.03262409305663539
78,99.168,83.26,0.02740594088135067
79,99.272,83.54,0.028405715405433813
80,99.264,84.06,0.025605842449806605
81,99.32600000000001,83.95,0.030982156183071617
82,98.97399999999999,83.24000000000001,0.02836762074149771
83,99.658,84.22,0.022017784250921903
84,99.178,83.57,0.023717712804807986
85,98.482,83.33,0.02770225976244621
86,99.426,84.42,0.023022336920596333
87,98.976,83.72,0.025727653622209606
88,99.45,84.56,0.030793854288867457
89,99.682,84.31,0.024311075996727903
90,99.214,83.64,0.022279597302837673
91,99.36,84.24000000000001,0.018200549086094774
92,98.956,83.39999999999999,0.02796295446452506
93,99.28399999999999,84.02,0.02672097325952345
94,99.26,83.77,0.018877361673777297
95,99.58200000000001,84.97,0.02530609015114018
96,99.454,84.2,0.020435985726308593
97,98.884,82.67,0.023311587941806117
98,99.166,83.61,0.022459251359459417
99,98.886,83.04,0.022912497729314397
100,99.522,84.49,0.019161956149230525
