Epoch,Train_Acc,Test_Acc,Train_Loss
1,50.712,50.28,1.4852836917123526
2,64.534,62.760000000000005,1.1481101377235958
3,72.274,69.36,0.885104746159995
4,74.142,70.61,0.7685380734293662
5,80.93599999999999,76.17,0.6573485436723056
6,85.17,78.72,0.5665033096280854
7,87.992,79.80000000000001,0.4869368747829476
8,88.926,80.53,0.42142478719620446
9,89.328,79.97,0.3705331932210251
10,90.434,79.88,0.31962708797296296
11,92.202,80.47,0.2877554015906723
12,93.8,81.16,0.2479462214909932
13,93.886,80.7,0.21836605892442834
14,91.724,78.9,0.2001986229015738
15,93.12,79.58,0.17548223479610423
16,96.276,81.95,0.16226147522773507
17,94.17999999999999,80.60000000000001,0.15263516828775062
18,96.466,81.61,0.14089443730881146
19,96.66799999999999,82.21000000000001,0.13280330260422396
20,98.08200000000001,83.14,0.12839284463418776
21,97.386,81.82000000000001,0.10968746614875867
22,97.538,82.31,0.11082094757105498
23,97.038,81.57,0.10913840314144711
24,96.714,81.43,0.09786542430353325
25,97.26599999999999,81.57,0.10316704181225403
26,97.286,81.74,0.10257298904625922
27,96.072,80.56,0.08778468642236135
28,96.87599999999999,81.8,0.09916016054571943
29,95.516,80.36999999999999,0.09225931186901877
30,97.69200000000001,82.58,0.0816721747182143
31,97.556,82.1,0.08216695873337128
32,98.294,83.17999999999999,0.0821139762315618
33,98.734,83.24000000000001,0.07878995255407546
34,97.58,82.15,0.07364039391610007
35,98.212,82.17,0.07795933244423583
36,96.636,80.81,0.07286750556721859
37,98.68,82.87,0.0784867776890078
38,98.534,82.96,0.06669577767642552
39,98.268,83.57,0.07637862181868595
40,98.42,82.82000000000001,0.06563264504432335
41,97.562,82.14,0.07156423286965374
42,98.158,82.61,0.06172377599955267
43,98.76599999999999,83.2,0.07127138431993243
44,98.454,82.74000000000001,0.061792703309466186
45,97.306,81.58999999999999,0.0558386091984001
46,97.87400000000001,82.95,0.06470982871724583
47,98.8,83.39999999999999,0.06135046746365338
48,98.402,82.28999999999999,0.06675965069887548
49,98.334,83.22,0.06322169116944731
50,98.47399999999999,82.71,0.05638276262621483
51,97.624,81.52000000000001,0.05778220250114056
52,98.17399999999999,82.80999999999999,0.052409577868370305
53,97.306,82.27,0.05725532156181411
54,98.604,82.69999999999999,0.05979692827909589
55,98.432,82.93,0.052243813352264544
56,98.634,83.19,0.05492555726278762
57,99.17399999999999,84.08,0.04854378589689333
58,97.596,82.41000000000001,0.05120558222077544
59,98.048,82.71,0.0549858219287706
60,99.136,83.43,0.05230828279884213
61,98.8,83.45,0.04597419550467599
62,98.488,83.36,0.0509900309660834
63,98.14399999999999,82.88,0.04607086386782435
64,98.602,83.19,0.050994669065161376
65,98.678,83.08,0.05009097693964158
66,97.406,81.88,0.04954376807173594
67,99.002,83.7,0.04225322462467547
68,99.36399999999999,83.86,0.046921149681909115
69,98.366,83.17999999999999,0.040758944997165585
70,98.98400000000001,83.58,0.05536114541864942
71,98.024,82.27,0.039232349990646155
72,99.122,83.55,0.045443052969872354
73,99.102,83.95,0.04181074498697956
74,98.648,83.09,0.04531306484507223
75,99.252,83.69,0.03628543265389583
76,99.202,84.02,0.04716657135554146
77,98.954,83.26,0.04706014893577456
78,99.276,84.28999999999999,0.037559365468730024
79,98.416,82.69,0.04050125429429688
80,98.752,82.84,0.03896571984347489
81,98.504,82.59,0.03895801652567949
82,97.188,81.51,0.05180288669730648
83,99.22800000000001,83.57,0.03634923503130062
84,97.74199999999999,82.11,0.03077653876688603
85,98.624,83.45,0.04604219121333269
86,99.42,84.44,0.03466081662568599
87,99.198,83.87,0.04286914752977391
88,99.072,83.66,0.03360463680585099
89,98.67399999999999,83.57,0.03601783450374015
90,99.29400000000001,83.73,0.03828901190669788
91,99.484,84.31,0.042925106035002096
92,97.786,81.67999999999999,0.02861012223070887
93,98.676,82.78,0.043709730597656093
94,99.034,83.63000000000001,0.03725280529307172
95,98.378,82.28999999999999,0.03252837404629866
96,98.532,83.07,0.03861498203189017
97,99.37,84.38,0.037883930929319486
98,99.524,84.06,0.026888523214196554
99,99.124,83.73,0.04623204055967231
100,98.97399999999999,83.55,0.031890810177734576
