Epoch,Train_Acc,Test_Acc,Train_Loss
1,52.193999999999996,51.29,1.5289895042891393
2,68.204,66.13,1.1186037082653826
3,74.83999999999999,71.1,0.8836852580385135
4,79.12599999999999,74.18,0.7222875892887335
5,78.426,72.83,0.6103242755202991
6,86.78,78.62,0.5104452179520941
7,88.262,79.45,0.4372428799109995
8,90.886,80.30000000000001,0.37647450673381994
9,90.34400000000001,78.68,0.3166621955745208
10,94.304,80.96,0.27045479686478213
11,92.752,79.34,0.23360119693819673
12,95.38799999999999,80.93,0.2010728876151697
13,96.686,80.97,0.18093868102544866
14,94.982,79.49000000000001,0.15551317993984998
15,95.746,80.77,0.14705592079107146
16,97.04,80.58,0.13852771361837227
17,96.652,80.81,0.12301813497248551
18,97.268,81.21000000000001,0.10589679032314064
19,96.666,80.51,0.11016264823420197
20,97.554,80.77,0.10359666395403655
21,98.21600000000001,81.49,0.0966095758370979
22,96.284,79.95,0.08847080542148589
23,98.46000000000001,81.49,0.09233114225289706
24,98.35199999999999,81.71000000000001,0.09213577719557735
25,98.212,81.28999999999999,0.08001367374063681
26,97.25399999999999,81.15,0.07716620097810979
27,98.558,82.1,0.08003949710671716
28,98.086,81.53,0.07874095871808755
29,98.304,81.24,0.07608959033577334
30,98.892,82.03,0.0646091559595164
31,97.788,81.67999999999999,0.06734593409729009
32,97.83,80.99,0.07180678960509941
33,98.588,81.58999999999999,0.06177457606912974
34,97.492,81.02000000000001,0.06132982681770964
35,98.8,82.07,0.064282506720706
36,98.932,82.46,0.06437685090603064
37,98.936,81.67999999999999,0.05365930770842723
38,97.408,80.96,0.057850109447208246
39,98.622,81.45,0.05905187262050674
40,98.816,82.08,0.0590997262155343
41,97.446,80.47,0.05216859358236613
42,98.416,81.66,0.051793884384952596
43,98.658,82.46,0.054886369829904524
44,98.414,81.89999999999999,0.052301525473868585
45,97.576,80.84,0.053385819629792844
46,97.798,80.81,0.04896687097003972
47,97.98599999999999,80.75,0.04980594448930146
48,98.598,81.6,0.04711711597125715
49,99.168,82.41000000000001,0.0494755857099798
50,98.68,81.19,0.0445604979864779
51,98.904,82.38,0.05233221136472995
52,98.064,82.01,0.0444092991584114
53,98.288,81.77,0.04770328997105272
54,98.96000000000001,82.43,0.04600448708910116
55,98.616,81.47,0.04672856535107526
56,99.28399999999999,82.91,0.046010811548859304
57,99.234,82.38,0.0419394275876354
58,99.266,82.65,0.036720536035515935
59,99.16199999999999,82.43,0.05039626073151472
60,99.112,82.5,0.04178555926207996
61,99.388,83.05,0.03915143967338164
62,98.74199999999999,82.28,0.046876136464161486
63,98.09400000000001,81.11,0.03589528376269904
64,99.402,82.58,0.037493913234961804
65,99.026,82.44,0.04580107351637456
66,97.828,80.66,0.03397948886757619
67,98.368,82.26,0.03759609879427881
68,99.152,82.39999999999999,0.04089796800563699
69,98.878,82.24000000000001,0.03725232366762628
70,99.17399999999999,82.22,0.034692241198374635
71,98.634,82.01,0.041388970785071255
72,99.226,82.55,0.03648190076298871
73,98.282,81.04,0.03475819408814387
74,99.36399999999999,82.39,0.038838543746386095
75,98.95,82.78,0.03683436576307089
76,99.268,82.91,0.030727210300698582
77,98.784,81.87,0.032793612180278
78,98.916,82.66,0.04496890177790676
79,99.18599999999999,83.56,0.03601972637006559
80,99.112,82.74000000000001,0.032051977390126274
81,98.94,82.39999999999999,0.028790538301109336
82,98.374,81.78,0.03899453294774889
83,99.372,83.12,0.03073769495150347
84,99.304,82.69999999999999,0.032957019248508815
85,99.074,82.80999999999999,0.03430688732815489
86,99.138,82.85,0.031167275703098574
87,99.02,82.62,0.03284340337845874
88,98.618,81.97,0.03186904600541711
89,98.056,81.66,0.03172526025017204
90,99.25399999999999,82.69999999999999,0.031182810669643214
91,98.9,81.85,0.029183056367991973
92,99.224,82.77,0.03385509032910318
93,98.476,81.3,0.027117836344998692
94,99.272,82.28,0.03143368621315176
95,98.774,81.91000000000001,0.03074758366225055
96,97.17,80.91000000000001,0.027173107849126455
97,98.82600000000001,82.36,0.03264170845472099
98,99.42999999999999,83.53,0.02875920060674137
99,99.52,83.37,0.03420660309953732
100,98.884,82.50999999999999,0.027180057961724922
