Epoch,Train_Acc,Test_Acc,Train_Loss
1,46.93,45.76,1.7168516251437194
2,59.116,56.830000000000005,1.330839100015133
3,67.104,64.86,1.0830187748002884
4,72.648,69.05,0.9136068161643679
5,78.85600000000001,73.81,0.7853167368399213
6,76.714,70.97,0.6818010636683925
7,83.322,76.31,0.5898297254539207
8,84.856,75.89,0.506179934286553
9,83.078,74.14,0.44827086251714954
10,87.94,76.99000000000001,0.39232596202427167
11,90.21000000000001,77.84,0.3374532542627333
12,94.07799999999999,79.09,0.29422208601061034
13,92.368,77.38000000000001,0.2593948683365608
14,94.646,78.79,0.2327211294132654
15,94.066,78.51,0.2064179434533924
16,95.61800000000001,78.83,0.18349842710749192
17,96.198,79.52,0.17752026153675965
18,95.468,78.35,0.14993233093158212
19,95.498,78.46,0.15018872895856838
20,96.196,79.44,0.14037831223634123
21,95.312,78.45,0.13199212848473235
22,97.304,79.07,0.12059708485258339
23,96.53399999999999,78.97,0.12093600434491701
24,97.468,79.32000000000001,0.10931543659006752
25,97.37599999999999,79.14999999999999,0.10860832928158247
26,97.676,79.45,0.10970652669065577
27,97.75399999999999,80.06,0.10175214887684797
28,96.59,78.8,0.09026969847676661
29,96.894,78.64,0.09116517529820505
30,97.18,78.22,0.09772367387131105
31,95.832,77.18,0.08076395931721563
32,97.276,78.74,0.08295449832051782
33,97.88,79.38,0.08346343509164518
34,98.02199999999999,79.96,0.08259578361122362
35,98.368,79.52,0.07861362308289979
36,97.938,78.75,0.06634089649360761
37,98.212,80.25999999999999,0.07070685435748061
38,97.856,79.67999999999999,0.07375951866170301
39,98.026,79.74,0.06370983681524806
40,98.334,79.91,0.06570222431926599
41,98.24000000000001,79.60000000000001,0.061959363997418464
42,98.202,79.03,0.06176217995158842
43,98.58,80.51,0.060583482732546164
44,98.412,80.25,0.06450881458202
45,98.19600000000001,80.30000000000001,0.05557781388959907
46,98.76599999999999,80.25999999999999,0.05763616246904325
47,98.198,80.06,0.0484092100507781
48,98.822,80.23,0.06274314124308064
49,98.496,79.97999999999999,0.04699790131811605
50,98.31,79.34,0.051454802080729854
51,97.324,78.68,0.04908061583949666
52,98.736,80.58999999999999,0.047401744699792796
53,97.898,79.61,0.05328380338796426
54,98.706,80.25999999999999,0.04301532158011641
55,98.234,79.75999999999999,0.044876109559570235
56,98.166,79.58,0.0483080024470437
57,99.182,80.60000000000001,0.0452311501356565
58,98.128,79.09,0.04007709277746127
59,99.292,81.17999999999999,0.046909410653866904
60,98.60600000000001,80.25999999999999,0.04117406490775447
61,99.268,80.99,0.03891765958346847
62,98.374,80.05,0.04135607632250427
63,99.06,79.93,0.04123047949741636
64,99.176,80.47,0.03498326229327388
65,99.17,81.01,0.04073313826887423
66,99.042,80.2,0.03437138249096267
67,99.00999999999999,80.36999999999999,0.03794062595322902
68,99.26,81.31,0.03883319082864932
69,99.28,81.47,0.03364753146356483
70,98.868,79.85,0.03208946568563597
71,99.28,81.05,0.03138970596386957
72,99.03999999999999,79.80000000000001,0.036561482693710304
73,99.148,80.39,0.03711009512050584
74,98.988,80.45,0.030082375815924545
75,99.15,80.17999999999999,0.030110742205300172
76,99.246,80.96,0.0319513855990322
77,98.418,79.42,0.035639209779919676
78,99.344,80.7,0.028473913871842917
79,99.464,80.83,0.029662547834973654
80,99.312,80.87,0.028914146000229696
81,99.488,80.64,0.02767225338258933
82,99.022,79.78,0.03208717350598515
83,99.41600000000001,81.12,0.029973611041805504
84,99.42,80.58,0.027636497877068896
85,99.276,81.03,0.029845522893795176
86,99.066,79.91,0.026409364748814116
87,99.452,80.9,0.028586748883805073
88,99.14,80.81,0.024144678309977696
89,99.37,80.53,0.027465963476903044
90,99.378,80.82000000000001,0.02756972731771375
91,99.136,80.84,0.02788823840914436
92,98.824,79.85,0.0264710888009095
93,99.394,81.53,0.025500600676969975
94,99.496,80.71000000000001,0.024189549624351808
95,99.41,80.51,0.023785560884542884
96,99.316,81.21000000000001,0.02927341356689213
97,99.49799999999999,80.94,0.021904460656716935
98,99.434,80.7,0.02189016586438941
99,98.36399999999999,79.47,0.023508834269005255
100,99.006,80.76,0.02510223069706826
